,text
0,мкр. 13 д. 1
1,мкр. 13 д. 2
2,мкр. 13 д. 3
3,мкр. 13 д. 4
4,мкр. 13 д. 5
5,мкр. 13 д. 6
6,мкр. 13 д. 7
7,мкр. 13 д. 8
8,мкр. 13 д. 9
9,мкр. 13 д. 10
10,мкр. 13 д. 11
11,мкр. 13 д. 12
12,мкр. 13 д. 13
13,мкр. 13 д. 14
14,мкр. 13 д. 15
15,мкр. 13 д. 16
16,мкр. 13 д. 17
17,мкр. 13 д. 18
18,мкр. 13 д. 19
19,мкр. 13 д. 20
20,мкр. 13 д. 21
21,мкр. 13 д. 22
22,мкр. 13 д. 23
23,мкр. Айгерим-1 ул. Василия Бенберина д. 2
24,мкр. Айгерим-1 ул. Василия Бенберина д. 30
25,мкр. Айгерим-1 ул. Василия Бенберина д. 32
26,мкр. Айгерим-1 ул. Василия Бенберина д. 34
27,мкр. Айгерим-1 ул. Василия Бенберина д. 73
28,мкр. Айгерим-1 ул. Василия Бенберина д. 74
29,мкр. Айгерим-1 ул. Василия Бенберина д. 75
30,мкр. Айгерим-1 ул. Василия Бенберина д. 76
31,мкр. Айгерим-1 ул. Василия Бенберина д. 77
32,мкр. Айгерим-1 ул. Василия Бенберина д. 78
33,мкр. Айгерим-1 ул. Василия Бенберина д. 79
34,мкр. Айгерим-1 ул. Василия Бенберина д. 80
35,мкр. Айгерим-1 ул. Василия Бенберина д. 84
36,мкр. Айгерим-1 ул. Василия Бенберина д. 86
37,мкр. Айгерим-1 ул. Василия Бенберина д. 88
38,мкр. Айгерим-1 ул. Василия Бенберина д. 90
39,мкр. Айгерим-1 ул. Василия Бенберина д. 92
40,мкр. Айгерим-1 ул. Василия Бенберина д. 94
41,мкр. Айгерим-1 ул. МТФ-1 д. 1/7
42,мкр. Айгерим-1 ул. МТФ-1 д. 2/7
43,мкр. Айгерим-1 ул. МТФ-1 д. 3/7
44,мкр. Айгерим-1 ул. МТФ-1 д. 6
45,мкр. Айгерим-1 ул. МТФ-1 д. 12А
46,мкр. Айгерим-1 ул. МТФ-1 д. 15
