,text
0,ж.м. Ақ-Бұлақ-2 пер. Бағлан д. 5
1,ж.м. Ақ-Бұлақ-2 пер. Сарқырама д. 1
2,ж.м. Ақ-Бұлақ-2 пер. Сарқырама д. 1/2
3,ж.м. Ақ-Бұлақ-2 пер. Сарқырама д. 1/3
4,ж.м. Ақ-Бұлақ-2 пер. Сарқырама д. 4
5,ж.м. Ақ-Бұлақ-2 пер. Сарыкеңгір д. 1
6,ж.м. Ақ-Бұлақ-2 пер. Сарыкеңгір д. 1/1
7,ж.м. Ақ-Бұлақ-2 пер. Сарыкеңгір д. 2
8,ж.м. Ақ-Бұлақ-2 пер. Сарыкеңгір д. 3
9,ж.м. Ақ-Бұлақ-2 пер. Талды д. 2
10,ж.м. Ақ-Бұлақ-2 пер. Талды д. 4
11,ж.м. Ақ-Бұлақ-2 пер. Тоқырауын д. 8
12,ж.м. Ақ-Бұлақ-2 пер. Тоқырауын д. 10
13,ж.м. Ақ-Бұлақ-2 пер. Тоқырауын д. 12
14,ж.м. Ақ-Бұлақ-2 ул. Амман д. 2
15,ж.м. Ақ-Бұлақ-2 ул. Амман д. 2А
16,ж.м. Ақ-Бұлақ-2 ул. Амман д. 2Б
17,ж.м. Ақ-Бұлақ-2 ул. Амман д. 4
18,ж.м. Ақ-Бұлақ-2 ул. Амман д. 6
19,ж.м. Ақ-Бұлақ-2 ул. Аскар Токпанов д. 41
20,ж.м. Ақ-Бұлақ-3 пер. Тасшоқы д. 1
21,ж.м. Ақ-Бұлақ-3 пер. Тасшоқы д. 2
22,ж.м. Ақ-Бұлақ-3 пер. Тасшоқы д. 3
23,ж.м. Ақ-Бұлақ-3 пер. Тесіктас д. 1
24,ж.м. Ақ-Бұлақ-3 ул. Қадырғали Жалайыри д. 1
25,ж.м. Ақ-Бұлақ-3 ул. Қадырғали Жалайыри д. 3
26,ж.м. Ақ-Бұлақ-3 ул. Қадырғали Жалайыри д. 5
27,ж.м. Ақ-Бұлақ-3 ул. Қадырғали Жалайыри д. 7
28,ж.м. Ақ-Бұлақ-4 ул. Аскар Токпанов д. 7
29,ж.м. Железнодорожный ул. Ақтасты д. 12
30,ж.м. Железнодорожный ул. Ақтасты д. 12/1
31,ж.м. Железнодорожный ул. Жамбыл Жабаев д. 12/2
